id,name
78f3eacd-bf08-46ed-ab7c-44a1524d29bb,Семейный врач
8be04dc3-bde4-42c3-96be-e7f8ffde656f,Сомнолог
795cd34f-b663-4b84-b73f-6f286fd76e0d,Сосудистый хирург
3fd544ea-a536-4c26-b029-a3e2e4815a9d,Специалист по клеточным технологиям
ca45ab36-5c4a-4e8e-91ab-98ae776f9317,Спортивный врач
d6058e50-e736-492c-b10a-2557af6cede2,Стоматолог
0df14bc3-1b5c-482d-8df9-16a254aa9779,Стоматолог-гигиенист
ce2c3a96-ff43-49c1-bd44-8b3bf726c398,Стоматолог-имплантолог
891eb23f-a1a8-4725-9d04-c5f862f9bfbb,Стоматолог-ортодонт
9ad234cb-e5b4-41ad-ba56-f26311bd4311,Стоматолог-ортопед
fac6908f-36b7-46de-a387-9818e80c4e24,Стоматолог-пародонтолог
0cbbf422-be4a-419e-86ee-a14adddbd22e,Стоматолог-терапевт
66c6fe97-d81e-4e49-96b4-67e4f138af1f,Стоматолог-хирург
f8e0c5af-6064-4347-9d8c-6e6a25300804,Сурдолог
ff91679a-7b03-42ec-a240-ba983a6b32d2,Терапевт
5f9405e5-abc8-412d-b1b7-2ba073b95345,Токсиколог
65475cd9-86ab-4b50-a15a-6f171dfda469,Торакальный хирург
9f148dac-2657-45b0-ae95-3730df0151d8,Травматолог
9506a69e-522e-471a-b537-34d68f3c6d21,Трансплантолог
cf33b652-fb2c-4de6-880b-a72de7161abe,Трансфузиолог
9a92365a-fde9-4d64-8779-9c91e5789f4f,Трихолог
6848f9a2-1753-4925-bfaf-936ce3328a47,УЗИ-специалист
c0e2a439-f8f1-46f7-8130-6da748993006,Уролог
be465306-8e29-42db-affe-a772ca848ddc,Фармаколог (клинический)
4d407cd1-88a8-4bf2-9fca-b244911a66ce,Фельдшер
3d9cceff-d0dd-4863-b380-5f6489c05da1,Физиатр
dba54f98-5953-4ea8-bf15-f0f34463c9d4,Физиотерапевт
3a902271-802a-425a-bac6-bddb856b0bea,Флеболог
090993c0-6e57-492a-9a74-4c7e967e4351,Фониатр
ff7274a4-17ff-4450-94ea-e7880831690a,Фтизиатр
0c35c0e5-cd04-4c9f-86c8-852c87ea0729,Химиотерапевт
cae11f77-bb34-463e-94a8-97921ecf88fc,Хирург
f13bff21-1caa-4c5f-b52a-05158cc8c0c7,Челюстно-лицевой хирург
f0b1b9d6-0c3b-41d6-8690-780a70ff97ee,Эмбриолог
9d911115-8b3c-4b7d-a571-4f316ab72b74,Эндокринолог
224b9dad-dade-4c07-8ce2-4e7b09b14a7b,Эндоскопист
0d4eeff5-187e-41f3-b1cf-8f7f027f6a49,Эпилептолог
